doc_index,entity_group,entity_text
0,ORG,Comcast
0,ORG,Wow
0,ORG,Xfinity
1,ORG,Comcast
1,ORG,Verizon
1,ORG,Comcast
2,ORG,Comcast
2,ORG,Comcast
2,ORG,Comcast
4,ORG,Comcast
4,MISC,Blast! Pro
4,ORG,Comcast
4,ORG,Comcast
4,ORG,Comcast
5,PER,God
5,ORG,Dish
5,ORG,Comcast
6,ORG,Xfinity
6,ORG,Walmart
6,ORG,Xfinity
6,LOC,Salt Lake City
6,MISC,Pro Blast
6,ORG,Xfinity
6,ORG,Xfinity
6,ORG,Xfinity
6,ORG,Xfinity
6,ORG,Xfinity
6,ORG,Xfinity
7,ORG,Comcast
8,ORG,Comcast
8,PER,Tom
8,ORG,Comcast
9,ORG,DISH
9,ORG,U-verse
9,ORG,Comcast
9,ORG,Comcast
9,ORG,Comcast
10,ORG,Comcast
10,ORG,Xfinity
10,ORG,dire
10,MISC,c
10,ORG,TV
10,ORG,billing
10,ORG,Comcast
11,ORG,Comcast/Xfinity
11,ORG,Xfinity
11,MISC,cst
12,ORG,Comcast
15,ORG,Comcast
15,ORG,Comcast
16,ORG,infinity
16,ORG,Comcast/Xfinity
17,ORG,Comcast
17,ORG,Comcast
17,ORG,Comcast
17,ORG,Comcast
17,ORG,Comcast
17,LOC,Murfreesboro
17,LOC,TN
17,ORG,Comcast
17,MISC,Apps
17,ORG,Comcast
18,ORG,Xfinity
18,ORG,XFINITY
18,ORG,Comcast/XFINITY
18,ORG,XFINITY
19,MISC,Wifi
19,ORG,X
19,MISC,f
19,ORG,inity
19,MISC,Wifi
19,MISC,Home Base
20,ORG,Comcast
20,ORG,ATT Uverse
20,ORG,Comcast
20,ORG,Comcast Customer Service
20,ORG,Comcast
20,ORG,Comcast
20,ORG,ATT Uverse
20,ORG,UVerse
20,ORG,Comcast
20,ORG,UVerse
20,ORG,Comcast
22,ORG,Comcast
22,ORG,Comcast
22,ORG,AT&T
22,ORG,AT&T
22,MISC,windows 95
22,MISC,windows 98 CD
24,ORG,Comcast
24,ORG,Box
24,PER,Louigie
24,ORG,Comcast
24,ORG,Box
24,ORG,Comcast
24,PER,Louigie
24,ORG,Comcast
26,PER,Jacob
26,MISC,Visa Card
26,MISC,Visa
26,MISC,Visa
26,MISC,BAIT &
26,MISC,Visa
26,ORG,Xfinity/Comcast
27,ORG,Comcast
