doc_index,city,state
0,Chesterfeild,MI
1,Philadelphia,PA
2,Rancho Cordova,CA
3,Manchester,NH
4,Bellevue,WA
5,Mobile,AL
6,Salt Lake City,UT
7,New Haven,CT
8,Bloomfield,NJ
9,Alpharetta,GA
10,Katy,TX
11,Huntsville,AL
12,Lauderhill,FL
13,Eden Prairie,MN
14,Thornton,CO
15,Medford,MA
16,Bellingham,WA
17,Murfreesboro,TN
18,Lawrenceville,GA
19,Minneapolis,MN
20,Pompano Beach,FL
21,Chicago,IL
22,Fort Lauderdale,FL
23,Houston,TX
24,Denver,CO
25,Wilsonville,OR
26,Woodbridge,VA
27,Corrales,NM
28,Mt View,CA
29,Portland,OR
30,Payson,UT
31,Sewell,NJ
32,Margate,FL
33,Fort Myers,FL
34,Vero Beach,FL
35,Atlanta,GA
36,Jacksonville,AR
37,Tomball,TX
38,Sinking Spring,PA
39,Ft. Pierce,FL
40,Knoxville,TN
41,South Bend,IN
42,Clarksville,TN
43,Wayne,PA
44,Birchrunville,PA
45,Moriches,NY
46,Milton,MA
47,Saint Paul,MN
48,Franklin,TN
49,Conyers,GA
50,Delray Beach,FL
51,Chattanooga,TN
52,Portland,OR
53,Point Pleasant,NJ
54,Gurnee,IL
55,Fort Lauderdale,FL
56,Bellevill,NJ
57,Evans,GA
58,Dayton,IN
59,Davis,CA
60,Cape Canaveral,FL
61,Atlanta,GA
62,Hinsdale,IL
63,Dothan,AL
64,Bloomington,IL
65,Memphis,TN
66,New York,NY
67,Gaithersburg,MD
68,Cleveland,OH
69,Coon Rapids,MN
70,Chicago,IL
71,Bloomington,IL
72,Sacramento,CA
73,Eugene,OR
74,Whiting,IN
75,Miami,FL
76,Richmond,VA
77,Jacksonville,FL
78,Belmont,MI
79,Frederick ,MD
80,Woods Hole,MA
81,Jacksonville,FL
82,Palmer Lake,CO
83,Baltimore,MD
84,Chattanooga,TN
85,Knoxville,TN
86,Albuquerque,NM
87,Atlanta,GA
88,Rockville,MD
89,Orlando,FL
90,Stayton,OR
91,Memphis,TN
92,Hanahan,SC
93,Stow,OH
94,Lilburn,GA
95,Duluth,KY
96,Houston,TX
97,Ann Arbor,MI
98,Ventura,CA
99,Miami,FL
100,Alexandria,VA
101,Scranton,PA
102,Lawrenceville,GA
103,Woodstock,GA
104,North Charleston,SC
105,Everett,WA
106,Richmond,VA
107,Albuquerque,NM
108,Weston,FL
109,Lansdale,PA
110,Corte Madera,CA
111,Lodi,NJ
112,Gaithersburg,MD
113,Minneapolis,MN
114,Sacramento,CA
115,Germantown,MD
116,Atlanta,GA
117,Miamia,FL
118,St. Louis Park,MN
119,Bellevue,WA
120,Commerce Township,MI
121,Boca Raton,FL
122,Tamarac,FL
123,Colorado Springs,CO
124,Mount Prospect,IL
125,Shreveport,LA
126,Cape Coral,FL
127,Anderson,IN
128,Memphis,TN
129,Jacksonville,FL
130,Rehoboth Beach,DE
131,Ft. Myers,FL
132,Boynton Beach,FL
133,Trevose,PA
134,Marietta,GA
135,Any,CA
136,Sacramento,CA
137,Oakley,CA
138,Marietta,GA
139,Goose Creek,SC
140,Rockford,IL
141,Ann Arbor,MI
142,Houston,TX
143,Springfield,MA
144,College Park,GA
145,Jacksonville,FL
146,Hollywood,FL
147,Richmond,CA
148,West Valley,UT
149,Hackettstown,NJ
150,Knoxville,TN
151,Atlanta,GA
152,Delray Beach,FL
153,Saint Charles,IL
154,Atlanta,GA
155,Savannah,GA
156,Lacey,WA
157,Petaluma,CA
158,Chattanooga,TN
159,Meriden,CT
160,Coatesville,PA
161,Naples,FL
162,Mibile,AL
163,Hillsborough,NJ
164,Chattanooga,TN
165,Irwin,PA
166,Boynton Beach,FL
167,Oakridge,TN
168,Alexandria,VA
169,Atlanta,GA
170,Westfield ,IN
171,Senoia,GA
172,Mechanicsburg,PA
173,Miami,FL
174,Cambridge,MD
175,Clarkston,MI
176,Coconut Creek,FL
177,Katy,TX
178,Roswell,GA
179,Philadelphia,PA
180,Mount Holly,NJ
181,Greensboro,NC
182,Woodridge,IL
183,Saint Charles,IL
184,Jacksonville,FL
185,Knoxville,TN
186,Sacramento,CA
187,Timonium,MD
188,Clarkston,MI
189,Canton,GA
190,Camas,WA
191,Pembroke Pines,FL
192,Pittsburgh,PA
193,North Port,FL
194,Buckner,MO
195,Sarasota,FL
196,Dunkirk,MD
197,Beachwood,NJ
198,Knoxville,TN
199,Plantation ,FL
200,Roswell,GA
201,Colorado Springs,CO
202,Boston,MA
203,Houston,TX
204,Salt Lake,UT
205,Naples,FL
206,Noblesville,IN
207,Boston,MA
208,Beech Grove,IN
209,Pembroke Pines,FL
210,Indiana,PA
211,Schaumburg,IL
212,Miami,FL
213,Salt Lake City,UT
214,Addison,IL
215,Milton,DE
216,Portland,OR
217,West Palm Beach,FL
218,Miami,FL
219,Lisle,IL
220,Lafayette,CA
221,Miami,FL
222,Lakewood,WA
223,Niles,MI
224,Mascot,TN
225,Waretown,NJ
226,Richwood,TX
227,Midlothian,VA
228,Ridgeland,MS
229,Jupiter,FL
230,Valparaiso,IN
