doc_index,document_topic
0,8
1,3
2,12
3,6
4,6
5,1
6,14
7,3
8,20
9,7
10,2
11,5
12,5
13,1
14,24
15,0
16,5
17,7
18,25
19,19
20,16
21,5
22,16
23,4
24,0
25,12
26,21
27,5
28,5
29,5
30,1
31,15
32,5
33,9
34,12
35,18
36,4
37,7
38,0
39,1
40,1
41,5
42,13
43,6
44,1
45,7
46,20
47,6
48,7
49,3
50,11
51,5
52,8
53,5
54,21
55,15
56,0
57,7
58,5
59,0
60,1
61,3
62,22
63,1
64,8
65,2
66,9
67,6
68,0
69,3
70,21
71,1
72,1
73,2
74,5
75,27
76,17
77,7
78,17
79,4
80,5
81,11
82,1
83,5
84,4
85,7
86,25
87,5
88,19
89,17
90,14
91,16
92,23
93,2
94,12
95,12
96,11
97,1
98,0
99,8
100,18
101,5
102,2
103,18
104,1
105,18
106,0
107,27
108,3
109,2
110,0
111,16
112,1
113,14
114,5
115,1
116,6
117,1
118,3
119,27
120,24
121,5
122,13
123,5
124,3
125,1
126,17
127,3
128,18
129,11
130,5
131,7
132,1
133,0
134,14
135,8
136,20
137,5
138,3
139,24
140,5
141,1
142,1
143,5
144,23
145,9
146,14
147,8
148,1
149,24
150,23
151,15
152,7
153,13
154,3
155,3
156,5
157,5
158,25
159,3
160,0
161,15
162,23
163,4
164,23
165,17
166,16
167,24
168,2
169,4
170,0
171,7
172,22
173,18
174,4
175,0
176,5
177,15
178,5
179,5
180,1
181,1
182,0
183,7
184,3
185,7
186,1
187,22
188,5
189,27
190,7
191,6
192,5
193,1
194,0
195,5
196,3
197,5
198,2
199,8
200,5
201,22
202,27
203,1
204,18
205,3
206,7
207,1
208,16
209,12
210,27
211,8
212,23
213,4
214,0
215,11
216,6
217,1
218,5
219,5
220,4
221,15
222,5
223,19
224,2
225,3
226,20
227,3
228,23
229,2
230,17
231,6
232,19
233,19
234,13
235,13
236,4
237,14
238,0
239,12
240,22
241,14
242,2
243,1
244,3
245,4
246,0
247,9
248,3
249,12
250,2
251,19
252,1
253,12
254,1
255,18
256,14
257,4
258,1
259,0
260,3
261,13
262,3
263,5
264,14
265,1
266,5
267,5
268,7
269,1
270,6
271,14
272,6
273,0
274,9
275,2
276,6
277,5
278,5
279,5
280,1
281,1
282,7
283,2
284,5
285,0
286,19
287,5
288,5
289,5
290,13
291,2
292,1
293,11
294,6
295,19
296,12
297,5
298,16
299,25
300,1
301,23
302,16
303,11
304,19
305,1
306,14
307,3
308,11
309,9
310,6
311,18
312,23
313,1
314,17
315,1
316,4
317,6
318,13
319,1
320,4
321,5
322,0
323,16
324,3
325,27
326,17
327,6
328,4
329,0
330,2
331,3
332,1
333,8
334,3
335,7
336,27
337,5
338,8
339,5
340,5
341,15
342,2
343,1
344,19
345,11
346,24
347,2
348,2
349,5
350,23
351,7
352,6
353,3
354,5
355,1
356,0
357,25
358,10
359,4
360,6
361,1
362,5
363,5
364,27
365,7
366,23
367,27
368,5
369,2
370,5
371,2
372,5
373,23
374,0
375,24
376,12
377,0
378,3
379,1
380,13
381,1
382,13
383,4
384,14
385,8
386,5
387,1
388,2
389,25
390,7
391,4
392,4
393,3
394,6
395,1
396,1
397,22
398,17
399,3
400,9
401,1
402,15
403,5
404,19
405,2
406,5
407,5
408,3
409,4
410,6
411,1
412,12
413,4
414,7
415,10
416,4
417,5
418,1
419,4
420,5
421,1
422,16
423,1
424,2
425,2
426,16
427,1
428,1
429,2
430,5
431,22
432,5
433,22
434,1
435,4
436,1
437,0
438,23
439,22
440,3
441,5
442,1
443,0
444,8
445,1
446,5
447,3
448,5
449,23
450,1
451,23
452,5
453,8
454,9
455,27
456,0
457,5
458,14
459,16
460,9
461,2
462,0
463,5
464,1
465,17
466,23
467,1
468,16
469,21
470,11
471,19
472,16
473,4
474,3
475,7
476,5
477,1
478,2
479,1
480,0
481,4
482,3
483,23
484,3
485,0
486,2
487,21
488,6
489,3
490,0
491,19
492,5
493,5
494,15
495,1
496,17
497,1
498,3
499,1
500,7
501,5
502,2
503,17
504,1
505,2
506,19
507,5
508,20
509,3
510,19
511,1
512,5
513,5
514,1
515,5
516,0
517,3
518,8
519,11
520,5
521,1
522,1
523,11
524,1
525,11
526,9
527,14
528,7
529,2
530,1
531,2
532,14
533,5
534,1
535,14
536,5
537,1
538,0
539,23
540,0
541,1
542,0
543,1
544,0
545,0
546,23
547,0
548,1
549,5
550,3
551,4
552,16
553,16
554,16
555,3
556,6
557,23
558,8
559,4
560,9
561,26
562,1
563,4
564,5
565,5
566,1
567,1
568,2
569,3
570,1
571,8
572,3
573,4
574,1
575,13
576,1
577,10
578,5
579,15
580,1
581,2
582,11
583,14
584,6
585,3
586,12
587,13
588,23
589,5
590,21
591,0
592,17
593,8
594,7
595,3
596,13
597,0
598,3
599,1
600,11
601,23
602,12
603,1
604,5
605,5
606,12
607,5
608,11
609,13
610,1
611,1
612,18
613,5
614,1
615,2
616,5
617,18
618,5
619,11
620,1
621,5
622,1
623,1
624,3
625,3
626,5
627,5
628,18
629,5
630,0
631,5
632,1
633,5
634,21
635,5
636,0
637,18
638,0
639,5
640,24
641,5
642,17
643,8
644,4
645,5
646,0
647,1
648,5
649,5
650,0
651,4
652,1
653,15
654,0
655,1
656,11
657,4
658,1
659,15
660,0
661,11
662,24
663,5
664,1
665,4
666,23
667,5
668,4
669,10
670,8
671,15
672,5
673,5
674,1
675,25
676,1
677,5
678,13
679,21
680,3
681,4
682,4
683,5
684,1
685,6
686,0
687,27
688,3
689,5
690,16
691,1
692,21
693,9
694,1
695,3
696,3
697,23
698,5
699,0
700,17
701,5
702,19
703,23
704,23
705,11
706,5
707,5
708,2
709,9
710,7
711,4
712,9
713,13
714,0
715,17
716,14
717,8
718,0
719,5
720,13
721,11
722,23
723,17
724,2
725,2
726,24
727,5
728,9
729,0
730,21
731,4
732,9
733,15
734,5
735,12
736,3
737,5
738,23
739,13
740,15
741,27
742,25
743,11
744,8
745,7
746,1
747,24
748,5
749,4
750,1
751,15
752,2
753,0
754,27
755,4
756,15
757,0
758,1
759,5
760,2
761,2
762,24
763,5
764,5
765,5
766,17
767,27
768,5
769,5
770,11
771,5
772,26
773,2
774,18
775,4
776,13
777,13
778,13
779,7
780,2
781,9
782,3
783,7
784,14
785,2
786,3
787,1
788,5
789,1
790,17
791,5
792,0
793,2
794,1
795,2
796,1
797,2
798,10
799,5
800,0
801,3
802,5
803,5
804,2
805,17
806,5
807,19
808,2
809,0
810,1
811,5
812,11
813,5
814,3
815,2
816,5
817,24
818,25
819,27
820,23
821,10
822,3
823,1
824,13
825,2
826,5
827,11
828,11
829,3
830,1
831,5
832,3
833,2
834,3
835,19
836,1
837,9
838,23
839,14
840,13
841,8
842,8
843,26
844,15
845,5
846,2
847,15
848,9
849,2
850,5
851,13
852,5
853,1
854,19
855,5
856,3
857,8
858,1
859,2
860,3
861,5
862,3
863,7
864,17
865,5
866,0
867,3
868,14
869,1
870,6
871,2
872,4
873,16
874,13
875,11
876,2
877,5
878,22
879,16
880,6
881,14
882,14
883,2
884,0
885,2
886,5
887,5
888,26
889,4
890,7
891,9
892,21
893,3
894,0
895,15
896,0
897,14
898,4
899,5
900,4
901,17
902,0
903,10
904,0
905,5
906,5
907,4
908,0
909,4
910,6
911,2
912,2
913,22
914,10
915,7
916,4
917,21
918,5
919,3
920,15
921,2
922,4
923,2
924,2
925,4
926,22
927,5
928,12
929,26
930,13
931,13
932,1
933,7
934,18
935,24
936,3
937,4
938,3
939,13
940,13
941,13
942,22
943,1
944,7
945,15
946,13
947,0
948,14
949,9
950,2
951,5
952,20
953,6
954,2
955,17
956,11
957,0
958,0
959,2
960,11
961,12
962,16
963,7
964,1
965,6
966,22
967,2
968,5
969,26
970,5
971,13
972,5
973,2
974,0
975,9
976,17
977,0
978,5
979,5
980,0
981,10
982,0
983,17
984,0
985,13
986,17
987,17
988,3
989,5
990,5
991,11
992,13
993,3
994,7
995,5
996,3
997,9
998,1
999,1
1000,5
1001,4
1002,1
1003,2
1004,13
1005,12
1006,0
